years_actual,years_predicted
2.0,3.3450714285714302
8.0,5.120000000000004
2.0,4.120499999999998
7.0,7.6800000000000015
6.0,5.723333333333339
18.0,14.826666666666634
12.0,13.336666666666675
4.0,1.6442777777777584
6.0,2.749999999999975
4.0,3.7366666666666584
12.0,11.966666666666649
8.0,5.336666666666676
12.0,12.646666666666665
1.0,1.0805396825396567
4.0,3.2266666666666586
5.0,8.453333333333333
15.0,12.693333333333328
5.0,6.606666666666668
5.0,10.493333333333338
3.0,3.8366666666666625
1.0,2.7751428571428445
5.0,5.036666666666674
11.0,12.080000000000009
13.0,14.740000000000006
18.0,21.35000000000003
14.0,15.280000000000012
6.0,11.793333333333337
22.0,18.569999999999958
4.0,3.5233333333333197
11.0,7.276666666666667
13.0,7.403333333333335
3.0,11.18
11.0,10.883333333333324
2.0,2.9699999999999873
4.0,1.6210238095237903
6.0,7.133333333333334
6.0,3.0566666666666578
13.0,16.106666666666683
2.0,2.623333333333317
5.0,4.459999999999989
1.0,1.2429629629629462
3.0,4.053333333333349
7.0,4.553333333333342
7.0,9.353333333333332
11.0,11.033333333333347
4.0,2.426666666666641
8.0,7.700000000000002
18.0,18.836666666666662
15.0,10.506666666666662
18.0,15.346666666666641
8.0,8.33
2.0,1.7122222222221923
6.0,2.593333333333307
2.0,3.8923333333333443
1.0,1.3266666666666351
4.0,4.343333333333323
7.0,7.360000000000001
2.0,3.403555555555555
16.0,13.369999999999994
2.0,3.8133333333333286
7.0,11.77666666666666
13.0,12.196666666666655
16.0,8.946666666666667
13.0,9.390000000000002
8.0,11.72999999999999
6.0,7.033333333333333
1.0,1.9833333333332943
4.0,5.960476190476195
5.0,6.880000000000001
22.0,17.293333333333287
6.0,4.5081984126984045
9.0,9.186666666666676
15.0,15.410000000000021
9.0,10.843333333333321
2.0,6.523333333333334
3.0,3.0800000000000143
5.0,3.535555555555564
5.0,6.360000000000001
7.0,10.350000000000009
16.0,16.336666666666673
9.0,7.896666666666668
3.0,2.7699999999999836
3.0,3.1694444444444576
4.0,7.16
17.0,14.180000000000035
12.0,7.023333333333333
2.0,1.3123333333333091
14.0,9.313333333333329
5.0,8.716666666666663
13.0,12.106666666666651
6.0,9.20666666666666
13.0,12.35
3.0,5.639999999999999
10.0,8.479999999999997
2.0,1.7215714285714148
4.0,4.906666666666668
11.0,12.973333333333331
7.0,7.730000000000001
5.0,4.8166666666666735
5.0,5.159999999999994
13.0,10.816666666666675
7.0,8.696666666666673
19.0,19.296666666666674
6.0,6.656666666666668
5.0,5.186666666666664
3.0,1.2429629629629462
3.0,3.2999999999999825
5.0,3.658222222222232
4.0,4.000000000000007
18.0,16.04333333333335
7.0,5.376666666666669
10.0,7.393333333333334
3.0,4.692500000000003
16.0,14.97000000000003
12.0,8.156666666666668
1.0,3.8526428571428566
2.0,5.406666666666669
17.0,21.85666666666671
16.0,18.169999999999966
11.0,8.846666666666676
7.0,8.549444444444445
3.0,3.2488888888888905
12.0,12.283333333333342
15.0,15.723333333333345
11.0,14.720000000000015
16.0,8.850000000000001
2.0,1.8749444444444148
21.0,17.28999999999996
7.0,5.379999999999996
2.0,2.0023333333332953
18.0,19.96666666666669
14.0,15.796666666666676
9.0,9.44
7.0,3.755555555555563
5.0,2.466666666666634
2.0,2.661595238095222
5.0,4.4666666666666766
1.0,0.9999999999999716
4.0,4.809999999999997
5.0,2.6056666666666466
5.0,2.1833333333333
4.0,9.276666666666664
5.0,4.350000000000016
4.0,2.836666666666652
3.0,3.704603174603178
4.0,8.340000000000002
16.0,10.606666666666657
7.0,5.50333333333333
4.0,5.476666666666667
7.0,2.6966666666666494
8.0,7.403333333333335
16.0,13.343333333333327
7.0,5.113333333333338
13.0,16.886666666666663
10.0,6.673333333333334
6.0,7.696666666666669
15.0,14.590000000000009
4.0,2.9433333333333103
12.0,14.613333333333358
7.0,4.51666666666666
3.0,1.9730079365078979
3.0,5.256666666666662
1.0,1.623388888888866
3.0,6.000000000000001
13.0,10.510000000000002
2.0,2.1555555555555204
9.0,6.446666666666665
5.0,3.058880952380931
11.0,5.779999999999998
7.0,3.84022222222222
5.0,3.8933333333333233
5.0,3.8166666666666704
3.0,2.001555555555518
2.0,3.3266666666666707
3.0,4.5533333333333275
7.0,9.906666666666663
4.0,4.113333333333346
12.0,11.613333333333333
2.0,3.129999999999992
2.0,1.8666666666666316
6.0,2.789999999999983
12.0,9.626666666666665
6.0,7.013333333333334
3.0,4.693333333333328
4.0,9.519999999999998
13.0,11.933333333333348
14.0,16.709999999999994
1.0,1.3266666666666351
15.0,14.873333333333335
10.0,9.23
13.0,10.03666666666667
2.0,1.888412698412668
9.0,8.499999999999995
7.0,7.093333333333333
10.0,14.590000000000009
3.0,3.153333333333319
2.0,4.906666666666668
2.0,2.869999999999984
10.0,13.326666666666664
12.0,9.48
8.0,7.6766666666666685
4.0,1.0805396825396567
3.0,2.35666666666664
2.0,1.7383333333333173
18.0,12.093333333333335
5.0,2.5421666666666454
4.0,3.798055555555548
2.0,4.3500000000000085
8.0,9.566666666666666
12.0,8.26333333333334
5.0,4.74
4.0,1.3894444444444174
4.0,2.8766666666666527
1.0,1.6337334054833939
11.0,12.41999999999998
8.0,10.339999999999998
13.0,12.493333333333347
4.0,3.610000000000008
3.0,6.9433333333333325
12.0,7.766666666666669
13.0,11.02
10.0,8.896666666666665
2.0,5.193333333333333
3.0,4.51666666666666
3.0,3.5320952380952297
4.0,3.9099999999999904
13.0,13.550000000000018
1.0,1.996666666666628
1.0,3.672000000000007
19.0,15.823333333333348
12.0,10.116666666666674
17.0,22.586666666666737
16.0,9.353333333333332
14.0,14.613333333333358
11.0,8.54333333333333
10.0,6.506666666666665
7.0,5.1107777777777805
1.0,1.023333333333305
8.0,7.003333333333334
13.0,10.826666666666657
1.0,1.2429629629629462
1.0,0.9999999999999716
8.0,9.043333333333331
2.0,1.9433333333332943
3.0,5.406666666666669
9.0,10.81000000000001
3.0,3.5154444444444537
10.0,8.499999999999995
1.0,2.8722222222221934
