cumulative_population,cumulative_income,year
0.05531135531135531,3.6116910874598564e-05,2014
0.05567765567765568,3.6869346517819364e-05,2014
0.056043956043956046,3.762178216104017e-05,2014
0.05641025641025641,3.837421780426097e-05,2014
0.056776556776556776,3.912665344748178e-05,2014
0.05714285714285714,3.987908909070258e-05,2014
0.057509157509157506,4.0631524733923384e-05,2014
0.05787545787545788,4.1383960377144184e-05,2014
0.05824175824175824,4.213639602036499e-05,2014
0.05860805860805861,4.288883166358579e-05,2014
0.05897435897435897,4.36412673068066e-05,2014
0.05934065934065934,4.43937029500274e-05,2014
0.05970695970695971,4.5146138593248204e-05,2014
0.060073260073260075,4.5898574236469004e-05,2014
0.06043956043956044,4.665100987968981e-05,2014
0.060805860805860805,4.740344552291061e-05,2014
0.06117216117216117,4.815588116613142e-05,2014
